text,intent
remind me to write thank you letters to invited,Create Reminder.
Remind me of the information in the note section of my  doctor's appointment,Create Reminder.
remind me to take my meds at 8am and 6pm daily,Create Reminder.
I need to text Nicquana tonight at 7pm. Can you remind me?,Create Reminder.
Remind me to change my flight to New York.,Create Reminder.
delete my reminder to do my homework tonight,Delete Reminder.
please remind me on Saturday at 9 am to leave Justin a message about the upcoming meeting on Monday,Create Reminder.
Remind me 30 min before the Fluid dynamics exam starts,Create Reminder.
Remind me at 5PM to schedule my hair appointment for next month,Create Reminder.
REMIND MY BAND TO BRING THEIR GEAR FOR TOMORROW NIGHT'S PERFORMANCE.,Create Reminder.
Remind me to buy movie tickets for Avengers: Infinity War for Saturday movie showings.,Create Reminder.
Remind me to pack my lunch for tomorrow.,Create Reminder.
erase reminder to attend conference this monday,Delete Reminder.
Set up a weekly reminder to do grocery shopping on Saturdays by 12:00 pm.,Create Reminder.
Remind me to play the baby's lullaby's for her at nap time,Create Reminder.
Set up a biweekly reminder to notify the team about the meeting,Create Reminder.
I need to modify one of my son's reminders.,Update Reminder.
reminder me to pick up my son from practice on Tuesday at 6,Create Reminder.
Alert me in 15 minutes to leave the house to pick up birthday cake.,Create Reminder.
remind me to brush my teeth tonight,Create Reminder.
Update the dog reminder to dog and cat.,Update Reminder Todo.
remind me to buy a christmas gift for lee ann on december 24,Create Reminder.
Remind me of my chiropractic appointment on Monday at 10am.,Create Reminder.
Remind my husband to pick up my prescription tomorrow.,Create Reminder.
Remind me to get 8 cups of water daily to maintain a healthy body.,Create Reminder.
"Tim's mother passed away, remind me to send him flowers next Thursday.",Create Reminder.
"Change my reminder about buying doughnuts to be for the book club on Friday, not Thursday.",Update Reminder Date Time.
Remind me to check the mailbox this week.,Create Reminder.
What reminders do I have on next friday,Get Reminder.
Remind me that my paper is due Before Tuesday 12:00am,Create Reminder.
Set reminder to have Meredith buy Teddy Grahams tomorrow night.,Create Reminder.
Remind Leigha about dance practice at 4pm.,Create Reminder.
set a monthly reminder o make the car payment on the 3rd.,Create Reminder.
Set a daily reminder at 6am to exercise,Create Reminder.
remind me that I have to make a dentist appointment for next week,Create Reminder.
Set a daily reminder this week to get an oil change before Friday.,Create Reminder.
"I need to text Macy at 3 pm to see if she wants to go to dinner tonight, remind me.",Create Reminder.
remind me to pack for my trip tomorrow morning,Create Reminder.
make a reminder on Wednesday at noon to finish the Amazon shop,Create Reminder.
Change the reminder for my surgery from Friday to Wednesday please.,Update Reminder Date Time.
Set up a reminder for Aiden feed the dogs twice a day.,Create Reminder.
Remind me to post the technician job opening by 4 p.m. today.,Create Reminder.
Remind dance troupe to bring extra socks to practice.,Create Reminder.
"Create the """"""""Pay Rent"""""""" reminder on the 30th and 31st of each month",Create Reminder.
Set up a reminder for water aerobics class every Friday at 7pm.,Create Reminder.
Remind me to send my weekly check in email Monday at noon.,Create Reminder.
remind me to send Cherise an email on sunday at 10p,Create Reminder.
Remind me to set alarm for 5 am Monday,Create Reminder.
Cancel the reminder that the library summer reading program shop closes on the 31st.,Delete Reminder.
Change my daily vitamin reminder from 7AM to 6:30 AM,Update Reminder Date Time.
Remind me to get meat out of the freezer at 10am daily.,Create Reminder.
Remind me in a week to unblock Sean from Whatsapp.,Create Reminder.
Remind Kate to mow the lawn Saturday morning.,Create Reminder.
I should write a thank you note for the churchs nice gesture. Can you remind me to do that tonight before 8pm?,Create Reminder.
Remind me to pick up Ice cream,Create Reminder.
"Change my doctor's appointment on Thursday, August 2 from 1 p.m. to 2 p.m.",Update Reminder Date Time.
remind me to Remove the alert on my reminder about call tom at 6 pm.,Create Reminder.
please remind me to send out invitations to husbands retirement party this weekend,Create Reminder.
Remind me to bring Ashley to the movies,Create Reminder.
cancel the reminder for biology study group today,Delete Reminder.
remind me about my moms anniversary party on Saturday,Create Reminder.
Drop a reminder on the ufc event,Create Reminder.
Do I have any reminders for Monday afternoon?,Get Reminder.
Remind me to stop and get gas tomorrow at 7am.,Create Reminder.
Remind me of my children's dentist appointment the day before the appointment.,Create Reminder.
Remind my husband to take his pills every night at 6 pm.,Create Reminder.
Set up a reminder two hours before my date on Sunday at 6 pm.,Create Reminder.
I need to study for my presentation; can you set a reminder on Wednesday?,Create Reminder.
what reminders do i have set for tomorrow.,Get Reminder.
Delete my reminder to get gas on the way to school pick up.,Delete Reminder.
set a reminder to bring my headphones on vacation,Create Reminder.
Set an alert to put a hold on my mail this Friday,Create Reminder.
Remind Brady and Jackson that we need to leave at 3; alert them an hour before.,Create Reminder.
Change my reminder to tomorrow.,Update Reminder Date Time.
Remind the SCA members about the meeting on August 6th at 4pm,Create Reminder.
"Remind me 12 hours prior to my routine Dentist appointment, in personal calendar, that I have my recurring  dentist appointment automatically scheduled and  that I must prepare- I mean floss for  !",Create Reminder.
Please set a daily reminder for 5pm to ensure my time card is filled out.,Create Reminder.
Remind me to check my job alerts every evening at 6pm.,Create Reminder.
Remind me to take the recycling to the disposal center on Friday next week,Create Reminder.
Alert me that I have to pay the electricity bill due on the 30th of this month.,Create Reminder.
remind me to check in for my flight next week,Create Reminder.
Remind me to text Jennifer tomorrow to invite her to the Sips and Sass dinner.,Create Reminder.
Set reminder to make coffee in the morning.,Create Reminder.
What are my reminders for next week?,Get Reminder.
Remind me to water the plants once a week.,Create Reminder.
WHEN IS THERE A REMINDER FOR ALICE'S DANCE CLASS?,Get Reminder.
Remind me when to set the clocks back one hour this fall.,Create Reminder.
I don't want to be late for work at 9 am; can you alert me 15 minutes before?,Create Reminder.
Set a daily reminder at 12 pm to check the sales of my Fabric website.,Create Reminder.
Remind me tonight to check on supply of paper towels.,Create Reminder.
What reminders do I have for today?,Get Reminder.
"Please set up a daily reminder to go to bed at 10:30pm, except for Saturdays.",Create Reminder.
"i forgot to do my homework, remind me to do it later tonight.",Create Reminder.
Delete all reminders for the month of September.,Delete Reminder.
Remind me to pick up pads today,Create Reminder.
set a reminder to buy light bulbs for the bathroom,Create Reminder.
Remind me to wake up at 6 for interview tomorrow,Create Reminder.
Remind me Friday is trash day.,Create Reminder.
Remind me each week to look at craft ideas on Pinterest.,Create Reminder.
remind me to book the Sedona helicopter tour tomorrow,Create Reminder.
Remind me about my tutoring session on Sunday at 7 pm.,Create Reminder.
Set reminder for tomorrow's baby shower,Create Reminder.
Set a reminder for our beach trip on Saturday,Create Reminder.
Remind me at 4:30pm when I get home to find the Great Clips coupon for Joe,Create Reminder.
What reminders do I have after 5pm today?,Get Reminder.
Remind me to pick up a plumbing wrench at 5pm on Thursday.,Create Reminder.
Remind about the school's field trip on Monday at 10am,Create Reminder.
set an alert to go off 10 minutes to 2 pm.,Create Reminder.
Can you remind me that my meeting is at 5 pm?,Create Reminder.
Remind me to give dog rabies shot every 3 years.,Create Reminder.
Delete the reminder to attend class for tomorrow morning.,Delete Reminder.
I must be reminded to check Maria's mail everyday next week.,Create Reminder.
Remind me to edit my essay tonight.,Create Reminder.
"I want to do something nice for my mom, please remind me to go shopping today at 5pm on Thursday.",Create Reminder.
Remind me of Kindergarten Orientation on August 30th at 9 pm.,Create Reminder.
Remind David we only have 5 dog bones and need to order some.,Create Reminder.
Set a reminder for 1 hour before Shea's soccer game.,Create Reminder.
Remind me to water the plants every Monday,Create Reminder.
update my interview from 10:00am to 2:45pm next tuesday,Update Reminder Date Time.
"I need to leave the house at 10:30 in the morning, can you remind me an hour ahead of that",Create Reminder.
Remind me to pick up Gizmo's medicine from the vet before 5pm on Friday.,Create Reminder.
Remind me tomorrow morning to email Edward about his car.,Create Reminder.
Remind me to get cat litter today.,Create Reminder.
Remind me to look up that directive for Marshall today.,Create Reminder.
remind me to shop for party stuff on friday,Create Reminder.
remind me in three years to schedule a pap smear,Create Reminder.
Set up an alert for early morning gym,Create Reminder.
Do I have any appointments this week,Get Reminder.
Remind me to request for the 20th off,Create Reminder.
Remind Darcy to come feed the cats Friday at 3 PM.,Create Reminder.
"I start a new job tomorrow, remind me to go get new shoes today at 5pm",Create Reminder.
Set up a weekly reminder for the maid to clean the blinds.,Create Reminder.
Can you delete the reminder about buying bread this evening. I already bought some.,Delete Reminder.
Remind me to take my eyedrops every day at 8 pm.,Create Reminder.
remind me to pick up my prescription tomorrow,Create Reminder.
Remind me about my hair appointment tomorrow at 3pm,Create Reminder.
what reminders do i have for this weekend?,Get Reminder.
Set a reminder for my dad about our dinner plans tomorrow.,Create Reminder.
Remind me at the beginning of august of my nephew's party.,Create Reminder.
Remind me what time am I having dinner with Jeff this week,Get Reminder.
Set up a weekly reminder to enter the fuel cards by the end of the day on Fridays.,Create Reminder.
Can you make Cindy a reminder to pull the Turkey out of the oven at 7?,Create Reminder.
Remind me about yoga class every Wednesday at 7 pm.,Create Reminder.
Remind me to change credit card's on Netflix on September 29.,Create Reminder.
