,text,intent
0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,Add To Playlist.
1,put United Abominations onto my rare groove playlist,Add To Playlist.
2,add the tune by misato watanabe to the Trapeo playlist,Add To Playlist.
3,add this artist to my this is miguel bosé playlist,Add To Playlist.
4,add heresy and the hotel choir to the evening acoustic playlist,Add To Playlist.
5,Please add Jency Anthony to my playlist This Is Mozart,Add To Playlist.
6,Add an album to my list La Mejor Música Dance 2017,Add To Playlist.
7,Add shame on you to my masters of metal playlist,Add To Playlist.
8,Add artist to playlist Epic Gaming,Add To Playlist.
9,Add The Private Collection onto my Cena Elegante playlist please.,Add To Playlist.
10,Put another track in my electronica & dance playlist.,Add To Playlist.
11,add this album to the playlist called dishwashing,Add To Playlist.
12,add Classic Punk by Chab,Add To Playlist.
13,add megon mcdonough indie songs for slackers to my playlist artist,Add To Playlist.
14,Add the name Shall We Dance to playlist Rock,Add To Playlist.
15,add Lee Seung gi to my Baila Reggaeton playlist,Add To Playlist.
16,put frank farian on my Deep Dark Indie Folk playlist,Add To Playlist.
17,Include hohenfriedberger marsch to my Novedades Pop list.,Add To Playlist.
18,add alexandra govere to my anochecer urbano playlist,Add To Playlist.
19,Please put maimi yajima 's song onto Operación Bikini .,Add To Playlist.
20,For my playlist chill add the name Cater Fe She,Add To Playlist.
21,add when ice met cream to This Is Alejandro Fernández playlist,Add To Playlist.
22,Add Banana Republic to my this is puccini playlist,Add To Playlist.
23,add the Chamillionaire track to lina's wedding classics playlist,Add To Playlist.
24,put this Kan Mikami tune on fresh finds cyclone,Add To Playlist.
25,add mike mogis onto my crate diggers anonymous playlist,Add To Playlist.
26,Add Jon McLaughlin to my forever country playlist.,Add To Playlist.
27,add sheila e to my i love my neo soul playlist,Add To Playlist.
28,Can you add something from Method Man to my this is mozart playlist,Add To Playlist.
29,Add an artist to my Hype list,Add To Playlist.
30,add track to my playlist a sudden rainstorm,Add To Playlist.
31,please add John Deacon to the funtime activity playlist,Add To Playlist.
32,Add track to this is puccini,Add To Playlist.
33,Add irving berlin to my dishwashing,Add To Playlist.
34,Add As I Was Going to St Ives to the fantasía playlist.,Add To Playlist.
35,I want lay down your arms in the indie español playlist.,Add To Playlist.
36,Add Kevin Cadogan to the 80s Classic Hits list,Add To Playlist.
37,Put Kim Kibum in my the martin garrix show playlist.,Add To Playlist.
38,Can Super Turnt Up get added to my emotron playlist?,Add To Playlist.
39,Add the name as with gladness men of old to my ultimate 90s playlist,Add To Playlist.
40,add this song onto hip hop gaming playlist,Add To Playlist.
41,Add Hatfield and the North to my Hot House playlist.,Add To Playlist.
42,Add chen jiafeng to Ultimate 00s,Add To Playlist.
43,Add the trey gunn tune to my French N' Heavy playlist.,Add To Playlist.
44,add this track to morning classical,Add To Playlist.
45,add tune to Soft Rock playlist,Add To Playlist.
46,add to laundry playlist with this song,Add To Playlist.
