label,text
Flight.,i want to fly from boston at 838 am and arrive in denver at 1110 in the morning
Flight.,what flights are available from pittsburgh to baltimore on thursday morning
Flight Time.,what is the arrival time in san francisco for the 755 am flight leaving washington
Airfare.,cheapest airfare from tacoma to orlando
Airfare.,round trip fares from pittsburgh to philadelphia under 1000 dollars
Flight.,i need a flight tomorrow from columbus to minneapolis
Aircraft.,what kind of aircraft is used on a flight from cleveland to dallas
Flight.,show me the flights from pittsburgh to los angeles on thursday
Flight.,all flights from boston to washington
Ground Service.,what kind of ground transportation is available in denver
Flight.,show me the flights from dallas to san francisco
Flight.,show me the flights from san diego to newark by way of houston
Airport.,what 's the airport at orlando
Flight.,what is the cheapest flight from boston to bwi
Flight.,all flights to baltimore after 6 pm
Airfare.,show me the first class fares from boston to denver
Ground Service.,show me the ground transportation in denver
Flight.,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm
Flight.,i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore
Flight.,please give me the flights from boston to pittsburgh on thursday of next week
Flight.,i would like to fly from denver to pittsburgh on united airlines
Flight.,show me the flights from san diego to newark
Flight.,please list all first class flights on united from denver to baltimore
Aircraft.,what kinds of planes are used by american airlines
Airfare.,i 'd like to have some information on a ticket from denver to pittsburgh and atlanta
Flight.,i 'd like to book a flight from atlanta to denver
Airline.,which airline serves denver pittsburgh and atlanta
Flight.,show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm
Ground Service.,atlanta ground transportation
Flight.,i also need service from dallas to boston arriving by noon
Airfare.,show me the cheapest round trip fare from baltimore to dallas
Flight.,show me all flights from new york to milwaukee on northwest airlines departing at 720 am
Flight.,flights from new york to miami
Flight.,please find a flight on delta from philadelphia to san francisco and give me the flight numbers
Flight.,i need a flight from dallas to san francisco
Airfare.,fares and flights from pittsburgh to philadelphia
Airline.,show me the airlines with first class flights
Flight.,what are the flights from st. louis to burbank sunday evening
Flight.,i 'd like to arrange a flight from pittsburgh to atlanta
Flight.,show flights from baltimore to san francisco between 6 pm and 8 pm on friday
Distance.,how far is it from orlando airport to orlando
Flight.,i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december
Airline.,which airline has the most arrivals in atlanta
Airline.,what airlines fly from new york to milwaukee to los angeles
Flight.,pittsburgh to denver
Airline.,which airlines serve atlanta
Ground Service.,show me information on ground transportation for dallas
Abbreviation.,what is fare code h
Flight.,show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon
Flight.,i need a flight from charlotte to newark leaving today evening
Flight Time.,what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh
Flight.,flights from newark to cleveland
Flight.,what flights go from boston to pittsburgh after 6 o'clock next tuesday
Ground Fare.,how much does the limousine service cost within pittsburgh
Flight.,does us air have any flights out of atlanta to denver
Abbreviation.,what is booking class c
Flight.,i 'd like to know the shortest trip between boston and san francisco
Flight.,i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday
Flight.,what is the least expensive flight from denver to atlanta
Flight.,i need to know information for flights leaving dallas on tuesday evening and returning to atlanta
Flight.,what flight goes from denver to baltimore first class on united airlines arriving on may seventh
Airline.,could you please tell me the airlines that fly from toronto to san diego
Flight.,what flights do you have from burbank to tacoma washington
Ground Service.,what is the ground transportation from philadelphia airport to the city proper
Airline.,which airlines have first class flights today
Flight.,find the latest flight from san francisco to atlanta that serves a meal
Flight.,i would like to make a reservation for a flight to denver from philadelphia on this coming sunday
Airport.,give me a list of airports in baltimore
Flight.,show me flights from boston to denver on wednesday
Flight.,show me the flights from boston to baltimore
Abbreviation.,what does fare code q mean
Flight.,please give me the flights from san francisco to washington dc
Flight.,i need information from denver to pittsburgh
Flight.,from seattle to salt lake city
Flight.,what is the earliest flight from boston to bwi that serves a snack
Aircraft.,what types of aircraft does delta fly
