,intent,utterance,label
0,Add To Playlist.,Add Don and Sherri to my Meditate to Sounds of Nature playlist,0
1,Add To Playlist.,put United Abominations onto my rare groove playlist,0
2,Add To Playlist.,add the tune by misato watanabe to the Trapeo playlist,0
3,Add To Playlist.,add this artist to my this is miguel bosé playlist,0
4,Add To Playlist.,add heresy and the hotel choir to the evening acoustic playlist,0
5,Add To Playlist.,Please add Jency Anthony to my playlist This Is Mozart,0
6,Add To Playlist.,Add an album to my list La Mejor Música Dance 2017,0
7,Add To Playlist.,Add shame on you to my masters of metal playlist,0
8,Add To Playlist.,Add artist to playlist Epic Gaming,0
9,Add To Playlist.,Add The Private Collection onto my Cena Elegante playlist please.,0
10,Add To Playlist.,Put another track in my electronica & dance playlist.,0
11,Add To Playlist.,add this album to the playlist called dishwashing,0
12,Add To Playlist.,add Classic Punk by Chab,0
13,Add To Playlist.,add megon mcdonough indie songs for slackers to my playlist artist,0
14,Add To Playlist.,Add the name Shall We Dance to playlist Rock,0
15,Add To Playlist.,add Lee Seung gi to my Baila Reggaeton playlist,0
16,Add To Playlist.,put frank farian on my Deep Dark Indie Folk playlist,0
17,Add To Playlist.,Include hohenfriedberger marsch to my Novedades Pop list.,0
18,Add To Playlist.,add alexandra govere to my anochecer urbano playlist,0
19,Add To Playlist.,Please put maimi yajima 's song onto Operación Bikini .,0
20,Add To Playlist.,For my playlist chill add the name Cater Fe She,0
21,Add To Playlist.,add when ice met cream to This Is Alejandro Fernández playlist,0
22,Add To Playlist.,Add Banana Republic to my this is puccini playlist,0
23,Add To Playlist.,add the Chamillionaire track to lina's wedding classics playlist,0
24,Add To Playlist.,put this Kan Mikami tune on fresh finds cyclone,0
25,Add To Playlist.,add mike mogis onto my crate diggers anonymous playlist,0
26,Add To Playlist.,Add Jon McLaughlin to my forever country playlist.,0
27,Add To Playlist.,add sheila e to my i love my neo soul playlist,0
28,Add To Playlist.,Can you add something from Method Man to my this is mozart playlist,0
29,Add To Playlist.,Add an artist to my Hype list,0
30,Add To Playlist.,add track to my playlist a sudden rainstorm,0
31,Add To Playlist.,please add John Deacon to the funtime activity playlist,0
32,Add To Playlist.,Add track to this is puccini,0
33,Add To Playlist.,Add irving berlin to my dishwashing,0
34,Add To Playlist.,Add As I Was Going to St Ives to the fantasía playlist.,0
35,Add To Playlist.,I want lay down your arms in the indie español playlist.,0
36,Add To Playlist.,Add Kevin Cadogan to the 80s Classic Hits list,0
37,Add To Playlist.,Put Kim Kibum in my the martin garrix show playlist.,0
38,Add To Playlist.,Can Super Turnt Up get added to my emotron playlist?,0
39,Add To Playlist.,Add the name as with gladness men of old to my ultimate 90s playlist,0
40,Add To Playlist.,add this song onto hip hop gaming playlist,0
41,Add To Playlist.,Add Hatfield and the North to my Hot House playlist.,0
42,Add To Playlist.,Add chen jiafeng to Ultimate 00s,0
43,Add To Playlist.,Add the trey gunn tune to my French N' Heavy playlist.,0
44,Add To Playlist.,add this track to morning classical,0
45,Add To Playlist.,add tune to Soft Rock playlist,0
46,Add To Playlist.,add to laundry playlist with this song,0
47,Add To Playlist.,Add a track to my Alok House Party playlist,0
48,Add To Playlist.,Place this tune in workout remix,0
49,Add To Playlist.,I'd like to add the artist Jesper Kyd onto my fresh electronic playlist.,0
50,Add To Playlist.,add this artist named Cleopatra Stratan to my playlist named 30 Before 20 Masterworks by Teenagers,0
51,Add To Playlist.,add erik santos in my playlist Metal Xplorer,0
52,Add To Playlist.,Add the tune to Your Favorite Slaughterhouse playlist.,0
53,Add To Playlist.,add Joe Gibbs to my The Bachelor Party playlist,0
54,Add To Playlist.,Please add Liberty Forever to the road trip playlist.,0
55,Add To Playlist.,add Salil Chowdhury to my 35 Soul Classics 1970 to 1975 playlsit,0
56,Add To Playlist.,I need to add to the all things post starting with my favorites from the silence,0
57,Add To Playlist.,Add The “Chirping” Crickets to my Mellowed Out Gaming playlist,0
58,Add To Playlist.,Add tune to Blues,0
59,Add To Playlist.,I want the Turbonegro album to go on the playlist called Genuine R&B,0
60,Add To Playlist.,Add Munawar Ali Khan to my mujeres y hombres y fiesta,0
61,Add To Playlist.,add tune to my mellow bars playlist,0
62,Add To Playlist.,Add mc ren to my It's a Southern Thing playlist,0
63,Add To Playlist.,Add this song to my roadrunner rec new releases list.,0
64,Add To Playlist.,add Curse song to my playlist Guest List Engadget,0
65,Add To Playlist.,I need to add another track to my cleaning playlist.,0
66,Add To Playlist.,add this artist to my 80'S PARTY,0
67,Add To Playlist.,Add gene clark to diann's chill out list,0
68,Add To Playlist.,Add a tune to rare groove,0
69,Add To Playlist.,add hopeful to my this is enrique iglesias,0
70,Add To Playlist.,add scott putesky to concentración indie rock playlist,0
71,Add To Playlist.,A Shawnna to the Warm Hearts Feel Good playlist.,0
72,Add To Playlist.,add artist John William Boone to my life's short; play fast playlist,0
73,Add To Playlist.,add jim martin to Deathcore,0
74,Add To Playlist.,put this track on soul bpm my playlist,0
75,Add To Playlist.,add this artist named trevor mcnevan to the playlist top gaming tracks,0
76,Add To Playlist.,Add Ashley Cafagna Tesoro to my reggae en español list,0
77,Add To Playlist.,Add artist to playlist Classic Punk,0
78,Add To Playlist.,Add a tune to my elrow Guest List,0
79,Add To Playlist.,I want to add Anna Semenovich to the dinner with friends playlist,0
80,Add To Playlist.,Play Disco Tango to Power Walk,0
81,Add To Playlist.,Add tune to my Folk Music At The Gaslight Café,0
82,Add To Playlist.,add this artist to romántica,0
83,Add To Playlist.,Please add 80s Classic Hits Asking for It to my playlist,0
84,Add To Playlist.,add this artist to primavera sound 2016 barcelona,0
85,Add To Playlist.,Add this album to Trotamundos,0
86,Add To Playlist.,Add splendido hotel to my verano forever,0
87,Add To Playlist.,add lunacy to my chill out playlist,0
88,Add To Playlist.,Add Without Your Love to my showstopper being mary jane list,0
89,Add To Playlist.,Add this song to my list Trabajo Relax,0
90,Add To Playlist.,Add this track to my Zen Focus playlist,0
