text,intent
i want to fly from boston at 838 am and arrive in denver at 1110 in the morning,Flight.
what flights are available from pittsburgh to baltimore on thursday morning,Flight.
what is the arrival time in san francisco for the 755 am flight leaving washington,Flight Time.
cheapest airfare from tacoma to orlando,Airfare.
round trip fares from pittsburgh to philadelphia under 1000 dollars,Airfare.
i need a flight tomorrow from columbus to minneapolis,Flight.
what kind of aircraft is used on a flight from cleveland to dallas,Aircraft.
show me the flights from pittsburgh to los angeles on thursday,Flight.
all flights from boston to washington,Flight.
what kind of ground transportation is available in denver,Ground Service.
show me the flights from dallas to san francisco,Flight.
show me the flights from san diego to newark by way of houston,Flight.
what 's the airport at orlando,Airport.
what is the cheapest flight from boston to bwi,Flight.
all flights to baltimore after 6 pm,Flight.
show me the first class fares from boston to denver,Airfare.
show me the ground transportation in denver,Ground Service.
all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,Flight.
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,Flight.
please give me the flights from boston to pittsburgh on thursday of next week,Flight.
i would like to fly from denver to pittsburgh on united airlines,Flight.
show me the flights from san diego to newark,Flight.
please list all first class flights on united from denver to baltimore,Flight.
what kinds of planes are used by american airlines,Aircraft.
i 'd like to have some information on a ticket from denver to pittsburgh and atlanta,Airfare.
i 'd like to book a flight from atlanta to denver,Flight.
which airline serves denver pittsburgh and atlanta,Airline.
show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,Flight.
atlanta ground transportation,Ground Service.
i also need service from dallas to boston arriving by noon,Flight.
show me the cheapest round trip fare from baltimore to dallas,Airfare.
show me all flights from new york to milwaukee on northwest airlines departing at 720 am,Flight.
flights from new york to miami,Flight.
please find a flight on delta from philadelphia to san francisco and give me the flight numbers,Flight.
i need a flight from dallas to san francisco,Flight.
fares and flights from pittsburgh to philadelphia,Airfare.
show me the airlines with first class flights,Airline.
what are the flights from st. louis to burbank sunday evening,Flight.
i 'd like to arrange a flight from pittsburgh to atlanta,Flight.
show flights from baltimore to san francisco between 6 pm and 8 pm on friday,Flight.
how far is it from orlando airport to orlando,Distance.
i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,Flight.
which airline has the most arrivals in atlanta,Airline.
what airlines fly from new york to milwaukee to los angeles,Airline.
pittsburgh to denver,Flight.
which airlines serve atlanta,Airline.
show me information on ground transportation for dallas,Ground Service.
what is fare code h,Abbreviation.
show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,Flight.
i need a flight from charlotte to newark leaving today evening,Flight.
what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,Flight Time.
flights from newark to cleveland,Flight.
what flights go from boston to pittsburgh after 6 o'clock next tuesday,Flight.
how much does the limousine service cost within pittsburgh,Ground Fare.
does us air have any flights out of atlanta to denver,Flight.
what is booking class c,Abbreviation.
i 'd like to know the shortest trip between boston and san francisco,Flight.
i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,Flight.
what is the least expensive flight from denver to atlanta,Flight.
i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,Flight.
what flight goes from denver to baltimore first class on united airlines arriving on may seventh,Flight.
could you please tell me the airlines that fly from toronto to san diego,Airline.
what flights do you have from burbank to tacoma washington,Flight.
what is the ground transportation from philadelphia airport to the city proper,Ground Service.
which airlines have first class flights today,Airline.
find the latest flight from san francisco to atlanta that serves a meal,Flight.
i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,Flight.
give me a list of airports in baltimore,Airport.
show me flights from boston to denver on wednesday,Flight.
show me the flights from boston to baltimore,Flight.
what does fare code q mean,Abbreviation.
please give me the flights from san francisco to washington dc,Flight.
i need information from denver to pittsburgh,Flight.
from seattle to salt lake city,Flight.
what is the earliest flight from boston to bwi that serves a snack,Flight.
what types of aircraft does delta fly,Aircraft.
what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,Airfare.
give me the flights leaving denver august ninth coming back to boston,Flight.
list all the flights that fly into general mitchell international,Flight.
what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,Flight.
list all flights from indianapolis to seattle,Flight.
in flight meal oakland to philadelphia saturday,Flight.
show me the flights on twa from atlanta in the morning,Flight.
i want to find the first flight from baltimore to boston that serves a meal,Flight.
of all airlines which airline has the most arrivals in atlanta,Airline.
display all flights from baltimore to boston on july twenty ninth,Flight.
i want to travel from atlanta to baltimore early in the morning first flight,Flight.
i now need a flight from san jose to houston leaving on sunday the fourth,Flight.
what are the flights available after 6 pm between san francisco and boston,Flight.
what flights depart baltimore on friday and arrive in san francisco by 8 pm,Flight.
show me flights from boston to san francisco,Flight.
list the delta airlines flights from boston to philadelphia,Flight.
show me the fares from dallas to san francisco,Airfare.
what nonstop flights between boston and washington arrive after 4 o'clock pm,Flight.
what is the distance from los angeles international airport to los angeles,Distance.
ground transportation in san jose,Ground Service.
please tell me how many nonstop flights there are from boston to atlanta,Quantity.
on the earliest flight from san francisco to atlanta on delta is a meal being served,Flight.
where does canadian airlines international fly,Flight.
what flights from denver to pittsburgh arrive before 8 in the morning,Flight.
find me the earliest flight from boston to atlanta,Flight.
list nonstop flights from houston to dallas which arrive before midnight,Flight.
show me the flights from boston to san francisco that stop in atlanta,Flight.
show me flights to san francisco from philadelphia stopping in dallas,Flight.
what city is the airport mco in,City.
how much does it cost to rent a car in tacoma,Ground Fare.
show me flights from baltimore to dallas,Flight.
show me a list of ground transportation at denver,Ground Service.
