text,intent
Whats the weather supposed to be today,Get Weather.
how cold is it?,Get Weather.
Can I get the 10 day forecast for Phoenix?,Get Weather.
What is the weather news for today?,Get Weather.
Tell me the weather conditions,Get Weather.
What's the weather like Saturday?,Get Weather.
where is it going to rain in the area today,Get Weather.
Check upcoming weather reports.,Get Weather.
How warm is it outside right now?,Get Weather.
Is it cold out?,Get Weather.
How is the weather in Jacksonville,Get Weather.
is it going to be hot today?,Get Weather.
temperature in New York,Get Weather.
This Sunday's weather in Los Angeles.,Get Weather.
Is it going to be sunny all day?,Get Weather.
How many days are going to rain this week?,Get Weather.
will it rain at my house today,Get Weather.
will I need a heavy coat today,Get Weather.
How cloudy is it?,Get Weather.
Is it going to rain today?,Get Weather.
What is the highest temperature going to be over the next 8 days,Get Weather.
What is the highs in Vegas this weekend?,Get Weather.
WHAT ARE THE CHANCES FOR RAIN,Get Weather.
should I wear pants or shorts today?,Get Weather.
is it going to snow friday,Get Weather.
When is it going to rain next in Phoenix?,Get Weather.
is it going to snow through the spring in upstate new york,Get Weather.
Will the weather be above 80 degrees tomorrow,Get Weather.
is there any thunderstorms in the forecast this week,Get Weather.
Is it supposed to rain today?,Get Weather.
Is there a thunderstorm watch?,Get Weather.
What is the weather like this weekend?,Get Weather.
"Is there going to be rain in Green Bay, WI today?",Get Weather.
should i bring an umbrella,Get Weather.
do i need sunscreen today,Get Weather.
Is it cold in croatia right now?,Get Weather.
Will it be raining at lunch time today?,Get Weather.
How much snow are we projected to get today?,Get Weather.
what is the highest temp today,Get Weather.
What is the weather for South Beach tomorrow at 11am?,Get Weather.
what's the local forecast for savannah,Get Weather.
Will it be sunny next Thursday?,Get Weather.
Is there sleet predicted for Pennsylvania tomorrow?,Get Weather.
Show me the weather?,Get Weather.
What the temperature today?,Get Weather.
What is the low temperature today,Get Weather.
How long is it supposed to rain?,Get Weather.
when is it going to be sunny out,Get Weather.
is snow in the forecast,Get Weather.
Can I wear shorts today?,Get Weather.
will the beach be sunny tomorrow,Get Weather.
whats the weather like in paris next week,Get Weather.
what did the news say the weather would be like in florida,Get Weather.
What is the sunset tonight?,Get Sunset.
What will the weather be like in Cancun Mexico today?,Get Weather.
Is there a storm coming?,Get Weather.
what time will the rain stop,Get Weather.
What is the weather forecast?,Get Weather.
What's the forecast for every day of the week?,Get Weather.
Is it raining today in new York ?,Get Weather.
What's the low temperature supposed to be today?,Get Weather.
will it be sunny tomorrow?,Get Weather.
What time is sundown today?,Get Weather.
How much snow is going to fall?,Get Weather.
what is the temp going to be this weekend,Get Weather.
"What is the weather this weekend in Destin, Florida?",Get Weather.
What's the high for today,Get Weather.
Do I need winter boots in Denver in the month of December?,Get Weather.
What is the likelihood of snow tomorrow?,Get Weather.
do I need to bring a jacket today?,Get Weather.
do i need an umbrella today?,Get Weather.
Do I need a jacket today?,Get Weather.
Will it rain today?,Get Weather.
temperature in chandler,Get Weather.
will it rain this week,Get Weather.
Weather for the week,Get Weather.
Will the weather be clear on Saturday?,Get Weather.
Will it rain today?,Get Weather.
storms today?,Get Weather.
What's the weather in Mexico?,Get Weather.
What is the local forecast for this weekend?,Get Weather.
are there any warnings today,Get Weather.
Will it be cloudy all day?,Get Weather.
What's tomorrow's forecast?,Get Weather.
Is it going to snow this week?,Get Weather.
Will it be cloudy tomorrow?,Get Weather.
What is the low temperature for Olympia today?,Get Weather.
Is there a flood warning?,Get Weather.
What it the low for this week.,Get Weather.
What time will it start to rain today?,Get Weather.
does it snow anywhere in Georgia?,Get Weather.
Is it suppose to be cloudy tomorrow?,Get Weather.
How hot will it get Saturday?,Get Weather.
What is the weather going to be like this week at Miami beach?,Get Weather.
whats the weather for this week?,Get Weather.
Is it going to snow tomorrow,Get Weather.
I want to know what days it may storm this week.,Get Weather.
Is snow in the forecast,Get Weather.
Are there any current weather travel advisories?,Get Weather.
Should I wear rain boots today?,Get Weather.
is today considered beach weather?,Get Weather.
how long is it going to rain,Get Weather.
When is it supposed to rain next?,Get Weather.
I need this weeks weather forecast please.,Get Weather.
whats the low for tomorrow,Get Weather.
Is Miami getting rain today?,Get Weather.
Weather this week,Get Weather.
What is the forecast for today?,Get Weather.
Weather please St. Louis Missouri.,Get Weather.
What is the weekend forecast?,Get Weather.
Is there a hurricane heading to the US?,Get Weather.
Is there a rip current at the beach this weekend?,Unsupported Weather.
what is the temperature,Get Weather.
Is it going to snow today?,Get Weather.
Is there a tornado threat?,Get Weather.
What is the temperature going to be tomorrow?,Get Weather.
weather,Get Weather.
When is it going to rain again in Atlanta?,Get Weather.
should I bring a sweater with me today?,Get Weather.
what's the chance of rain today?,Get Weather.
Is it raining today in London?,Get Weather.
Will it get to 80 degrees today?,Get Weather.
give me a forecast for Italy this week,Get Weather.
do i need a jacket in san fran tonight,Get Weather.
How does the weather look today?,Get Weather.
what is the weather in new york,Get Weather.
how much of a chance of rain tomorrow,Get Weather.
will it snow today,Get Weather.
when will it rain this week,Get Weather.
do i need an umbrella today,Get Weather.
Should I wear rain boots today?,Get Weather.
When is the next time it is guessed to rain?,Get Weather.
Will it rain on Saturday?,Get Weather.
What is the air quality today?,Unsupported Weather.
Are there any storms headed my way this week?,Get Weather.
What is the humidity today?,Get Weather.
how will the weather be at hyde park at 11pm,Get Weather.
Will there be any winds today?,Get Weather.
What is today's forecast?,Get Weather.
what is the temperature for Myrtle Beach this weekend,Get Weather.
is it going to storm this weekend,Get Weather.
Tell me this weeks weather forecast.,Get Weather.
What is the weather near me?,Get Weather.
will it sleet,Get Weather.
what is the weather going to be tomorrow in Seattle,Get Weather.
Will it be cloudy tomorrow,Get Weather.
"What is the wind chill in Rochester, NY?",Get Weather.
Does it snow in this city,Get Weather.
Is there a forecast for snow this week?,Get Weather.
What is the weather like at the Arctic pole?,Get Weather.
What is the weather like In Miami?,Get Weather.
what is the current weather in tennessee,Get Weather.
how cold is it,Get Weather.
Do I need a raincoat?,Get Weather.
What is the weather going to be like this Saturday?,Get Weather.
What time is it coldest tomorrow?,Get Weather.
What is the weather like in Edison,Get Weather.
How hot will it be today?,Get Weather.
Is it going to rain in NY when my plane lands,Get Weather.
what is the humidity right now?,Get Weather.
What is the weather forecast for Denver?,Get Weather.
Is it supposed to be windy today?,Get Weather.
What is the temperture of Higgins Lake,Get Weather.
What is the weather like in Austin,Get Weather.
is it windy out,Get Weather.
Is there a flash flood warning?,Get Weather.
Afternoon temperature,Get Weather.
What is today's highs?,Get Weather.
What is this week's forecast?,Get Weather.
is it going to rain all week,Get Weather.
Is rain expected next Wednesday,Get Weather.
how many feet of snow will it snow in THE MOUNTains over los angeles?,Get Weather.
what is the average temp here next week?,Get Weather.
What is the weather in Chapel Hill at 4 am?,Get Weather.
What is the weather all week?,Get Weather.
Should I bring an umbrella?,Get Weather.
Will it be hot and humid in the Dominican Republic during August?,Get Weather.
When is the next time it is going to rain?,Get Weather.
Is it cold out today?,Get Weather.
Is it going to be hot today?,Get Weather.
How windy is it in West Virginia?,Get Weather.
Will it be sunny later today?,Get Weather.
What is the humidity in Port Orange right now?,Get Weather.
Hows the weather in Sydney,Get Weather.
Will it be sunny tomorrow,Get Weather.
Do I need a coat today?,Get Weather.
HOW MANY INCHES OF SNOW SHOULD WE EXPECT?,Get Weather.
IS IT SAFE TO GO TO THE BEACH TODAY,Get Weather.
How long is the fog going to last this morning?,Get Weather.
What is the average temperature in August,Get Weather.
How hot does Los Angeles get in September?,Get Weather.
Will it snow today?,Get Weather.
what is the temperature high for today?,Get Weather.
Is it going to storm tonight?,Get Weather.
