,utterance,intent,label
0,Whats the weather supposed to be today,Get Weather.,0
1,how cold is it?,Get Weather.,0
2,Can I get the 10 day forecast for Phoenix?,Get Weather.,0
3,What is the weather news for today?,Get Weather.,0
4,Tell me the weather conditions,Get Weather.,0
5,What's the weather like Saturday?,Get Weather.,0
6,where is it going to rain in the area today,Get Weather.,0
7,Check upcoming weather reports.,Get Weather.,0
8,How warm is it outside right now?,Get Weather.,0
9,Is it cold out?,Get Weather.,0
10,How is the weather in Jacksonville,Get Weather.,0
11,is it going to be hot today?,Get Weather.,0
12,temperature in New York,Get Weather.,0
13,This Sunday's weather in Los Angeles.,Get Weather.,0
14,Is it going to be sunny all day?,Get Weather.,0
15,How many days are going to rain this week?,Get Weather.,0
16,will it rain at my house today,Get Weather.,0
17,will I need a heavy coat today,Get Weather.,0
18,How cloudy is it?,Get Weather.,0
19,Is it going to rain today?,Get Weather.,0
20,What is the highest temperature going to be over the next 8 days,Get Weather.,0
21,What is the highs in Vegas this weekend?,Get Weather.,0
22,WHAT ARE THE CHANCES FOR RAIN,Get Weather.,0
23,should I wear pants or shorts today?,Get Weather.,0
24,is it going to snow friday,Get Weather.,0
25,When is it going to rain next in Phoenix?,Get Weather.,0
26,is it going to snow through the spring in upstate new york,Get Weather.,0
27,Will the weather be above 80 degrees tomorrow,Get Weather.,0
28,is there any thunderstorms in the forecast this week,Get Weather.,0
29,Is it supposed to rain today?,Get Weather.,0
30,Is there a thunderstorm watch?,Get Weather.,0
31,What is the weather like this weekend?,Get Weather.,0
32,"Is there going to be rain in Green Bay, WI today?",Get Weather.,0
33,should i bring an umbrella,Get Weather.,0
34,do i need sunscreen today,Get Weather.,0
35,Is it cold in croatia right now?,Get Weather.,0
36,Will it be raining at lunch time today?,Get Weather.,0
37,How much snow are we projected to get today?,Get Weather.,0
38,what is the highest temp today,Get Weather.,0
39,What is the weather for South Beach tomorrow at 11am?,Get Weather.,0
40,what's the local forecast for savannah,Get Weather.,0
41,Will it be sunny next Thursday?,Get Weather.,0
42,Is there sleet predicted for Pennsylvania tomorrow?,Get Weather.,0
43,Show me the weather?,Get Weather.,0
44,What the temperature today?,Get Weather.,0
45,What is the low temperature today,Get Weather.,0
46,How long is it supposed to rain?,Get Weather.,0
47,when is it going to be sunny out,Get Weather.,0
48,is snow in the forecast,Get Weather.,0
49,Can I wear shorts today?,Get Weather.,0
50,will the beach be sunny tomorrow,Get Weather.,0
51,whats the weather like in paris next week,Get Weather.,0
52,what did the news say the weather would be like in florida,Get Weather.,0
53,What is the sunset tonight?,Get Sunset.,1
54,What will the weather be like in Cancun Mexico today?,Get Weather.,0
55,Is there a storm coming?,Get Weather.,0
56,what time will the rain stop,Get Weather.,0
57,What is the weather forecast?,Get Weather.,0
58,What's the forecast for every day of the week?,Get Weather.,0
59,Is it raining today in new York ?,Get Weather.,0
60,What's the low temperature supposed to be today?,Get Weather.,0
61,will it be sunny tomorrow?,Get Weather.,0
62,What time is sundown today?,Get Weather.,0
63,How much snow is going to fall?,Get Weather.,0
64,what is the temp going to be this weekend,Get Weather.,0
65,"What is the weather this weekend in Destin, Florida?",Get Weather.,0
66,What's the high for today,Get Weather.,0
67,Do I need winter boots in Denver in the month of December?,Get Weather.,0
68,What is the likelihood of snow tomorrow?,Get Weather.,0
69,do I need to bring a jacket today?,Get Weather.,0
70,do i need an umbrella today?,Get Weather.,0
71,Do I need a jacket today?,Get Weather.,0
72,Will it rain today?,Get Weather.,0
73,temperature in chandler,Get Weather.,0
74,will it rain this week,Get Weather.,0
75,Weather for the week,Get Weather.,0
76,Will the weather be clear on Saturday?,Get Weather.,0
77,Will it rain today?,Get Weather.,0
78,storms today?,Get Weather.,0
79,What's the weather in Mexico?,Get Weather.,0
80,What is the local forecast for this weekend?,Get Weather.,0
81,are there any warnings today,Get Weather.,0
82,Will it be cloudy all day?,Get Weather.,0
83,What's tomorrow's forecast?,Get Weather.,0
84,Is it going to snow this week?,Get Weather.,0
85,Will it be cloudy tomorrow?,Get Weather.,0
86,What is the low temperature for Olympia today?,Get Weather.,0
