,text,intent
0,i want to fly from boston at 838 am and arrive in denver at 1110 in the morning,Flight.
1,what flights are available from pittsburgh to baltimore on thursday morning,Flight.
2,what is the arrival time in san francisco for the 755 am flight leaving washington,Flight Time.
3,cheapest airfare from tacoma to orlando,Airfare.
4,round trip fares from pittsburgh to philadelphia under 1000 dollars,Airfare.
5,i need a flight tomorrow from columbus to minneapolis,Flight.
6,what kind of aircraft is used on a flight from cleveland to dallas,Aircraft.
7,show me the flights from pittsburgh to los angeles on thursday,Flight.
8,all flights from boston to washington,Flight.
9,what kind of ground transportation is available in denver,Ground Service.
10,show me the flights from dallas to san francisco,Flight.
11,show me the flights from san diego to newark by way of houston,Flight.
12,what 's the airport at orlando,Airport.
13,what is the cheapest flight from boston to bwi,Flight.
14,all flights to baltimore after 6 pm,Flight.
15,show me the first class fares from boston to denver,Airfare.
16,show me the ground transportation in denver,Ground Service.
17,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,Flight.
18,i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,Flight.
19,please give me the flights from boston to pittsburgh on thursday of next week,Flight.
20,i would like to fly from denver to pittsburgh on united airlines,Flight.
21,show me the flights from san diego to newark,Flight.
22,please list all first class flights on united from denver to baltimore,Flight.
23,what kinds of planes are used by american airlines,Aircraft.
24,i 'd like to have some information on a ticket from denver to pittsburgh and atlanta,Airfare.
25,i 'd like to book a flight from atlanta to denver,Flight.
26,which airline serves denver pittsburgh and atlanta,Airline.
27,show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,Flight.
28,atlanta ground transportation,Ground Service.
29,i also need service from dallas to boston arriving by noon,Flight.
30,show me the cheapest round trip fare from baltimore to dallas,Airfare.
31,show me all flights from new york to milwaukee on northwest airlines departing at 720 am,Flight.
32,flights from new york to miami,Flight.
33,please find a flight on delta from philadelphia to san francisco and give me the flight numbers,Flight.
34,i need a flight from dallas to san francisco,Flight.
35,fares and flights from pittsburgh to philadelphia,Airfare.
36,show me the airlines with first class flights,Airline.
37,what are the flights from st. louis to burbank sunday evening,Flight.
38,i 'd like to arrange a flight from pittsburgh to atlanta,Flight.
39,show flights from baltimore to san francisco between 6 pm and 8 pm on friday,Flight.
40,how far is it from orlando airport to orlando,Distance.
41,i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,Flight.
42,which airline has the most arrivals in atlanta,Airline.
43,what airlines fly from new york to milwaukee to los angeles,Airline.
44,pittsburgh to denver,Flight.
45,which airlines serve atlanta,Airline.
46,show me information on ground transportation for dallas,Ground Service.
47,what is fare code h,Abbreviation.
48,show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,Flight.
49,i need a flight from charlotte to newark leaving today evening,Flight.
50,what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,Flight Time.
51,flights from newark to cleveland,Flight.
52,what flights go from boston to pittsburgh after 6 o'clock next tuesday,Flight.
53,how much does the limousine service cost within pittsburgh,Ground Fare.
54,does us air have any flights out of atlanta to denver,Flight.
55,what is booking class c,Abbreviation.
56,i 'd like to know the shortest trip between boston and san francisco,Flight.
57,i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,Flight.
58,what is the least expensive flight from denver to atlanta,Flight.
59,i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,Flight.
60,what flight goes from denver to baltimore first class on united airlines arriving on may seventh,Flight.
61,could you please tell me the airlines that fly from toronto to san diego,Airline.
62,what flights do you have from burbank to tacoma washington,Flight.
63,what is the ground transportation from philadelphia airport to the city proper,Ground Service.
64,which airlines have first class flights today,Airline.
65,find the latest flight from san francisco to atlanta that serves a meal,Flight.
66,i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,Flight.
67,give me a list of airports in baltimore,Airport.
68,show me flights from boston to denver on wednesday,Flight.
69,show me the flights from boston to baltimore,Flight.
70,what does fare code q mean,Abbreviation.
71,please give me the flights from san francisco to washington dc,Flight.
72,i need information from denver to pittsburgh,Flight.
73,from seattle to salt lake city,Flight.
74,what is the earliest flight from boston to bwi that serves a snack,Flight.
75,what types of aircraft does delta fly,Aircraft.
76,what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,Airfare.
77,give me the flights leaving denver august ninth coming back to boston,Flight.
78,list all the flights that fly into general mitchell international,Flight.
79,what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,Flight.
80,list all flights from indianapolis to seattle,Flight.
81,in flight meal oakland to philadelphia saturday,Flight.
82,show me the flights on twa from atlanta in the morning,Flight.
83,i want to find the first flight from baltimore to boston that serves a meal,Flight.
84,of all airlines which airline has the most arrivals in atlanta,Airline.
85,display all flights from baltimore to boston on july twenty ninth,Flight.
86,i want to travel from atlanta to baltimore early in the morning first flight,Flight.
87,i now need a flight from san jose to houston leaving on sunday the fourth,Flight.
88,what are the flights available after 6 pm between san francisco and boston,Flight.
89,what flights depart baltimore on friday and arrive in san francisco by 8 pm,Flight.
90,show me flights from boston to san francisco,Flight.
91,list the delta airlines flights from boston to philadelphia,Flight.
92,show me the fares from dallas to san francisco,Airfare.
93,what nonstop flights between boston and washington arrive after 4 o'clock pm,Flight.
94,what is the distance from los angeles international airport to los angeles,Distance.
95,ground transportation in san jose,Ground Service.
