,Unnamed: 0,text,intent
0,0,remind me to write thank you letters to invited,Create Reminder.
1,1,Remind me of the information in the note section of my  doctor's appointment,Create Reminder.
2,2,remind me to take my meds at 8am and 6pm daily,Create Reminder.
3,3,I need to text Nicquana tonight at 7pm. Can you remind me?,Create Reminder.
4,4,Remind me to change my flight to New York.,Create Reminder.
5,5,delete my reminder to do my homework tonight,Delete Reminder.
6,6,please remind me on Saturday at 9 am to leave Justin a message about the upcoming meeting on Monday,Create Reminder.
7,7,Remind me 30 min before the Fluid dynamics exam starts,Create Reminder.
8,8,Remind me at 5PM to schedule my hair appointment for next month,Create Reminder.
9,9,REMIND MY BAND TO BRING THEIR GEAR FOR TOMORROW NIGHT'S PERFORMANCE.,Create Reminder.
10,10,Remind me to buy movie tickets for Avengers: Infinity War for Saturday movie showings.,Create Reminder.
11,11,Remind me to pack my lunch for tomorrow.,Create Reminder.
12,12,erase reminder to attend conference this monday,Delete Reminder.
13,13,Set up a weekly reminder to do grocery shopping on Saturdays by 12:00 pm.,Create Reminder.
14,14,Remind me to play the baby's lullaby's for her at nap time,Create Reminder.
15,15,Set up a biweekly reminder to notify the team about the meeting,Create Reminder.
16,16,I need to modify one of my son's reminders.,Update Reminder.
17,17,reminder me to pick up my son from practice on Tuesday at 6,Create Reminder.
18,18,Alert me in 15 minutes to leave the house to pick up birthday cake.,Create Reminder.
19,19,remind me to brush my teeth tonight,Create Reminder.
20,20,Update the dog reminder to dog and cat.,Update Reminder Todo.
21,21,remind me to buy a christmas gift for lee ann on december 24,Create Reminder.
22,22,Remind me of my chiropractic appointment on Monday at 10am.,Create Reminder.
23,23,Remind my husband to pick up my prescription tomorrow.,Create Reminder.
24,24,Remind me to get 8 cups of water daily to maintain a healthy body.,Create Reminder.
25,25,"Tim's mother passed away, remind me to send him flowers next Thursday.",Create Reminder.
26,26,"Change my reminder about buying doughnuts to be for the book club on Friday, not Thursday.",Update Reminder Date Time.
27,27,Remind me to check the mailbox this week.,Create Reminder.
28,28,What reminders do I have on next friday,Get Reminder.
29,29,Remind me that my paper is due Before Tuesday 12:00am,Create Reminder.
30,30,Set reminder to have Meredith buy Teddy Grahams tomorrow night.,Create Reminder.
31,31,Remind Leigha about dance practice at 4pm.,Create Reminder.
32,32,set a monthly reminder o make the car payment on the 3rd.,Create Reminder.
33,33,Set a daily reminder at 6am to exercise,Create Reminder.
34,34,remind me that I have to make a dentist appointment for next week,Create Reminder.
35,35,Set a daily reminder this week to get an oil change before Friday.,Create Reminder.
36,36,"I need to text Macy at 3 pm to see if she wants to go to dinner tonight, remind me.",Create Reminder.
37,37,remind me to pack for my trip tomorrow morning,Create Reminder.
38,38,make a reminder on Wednesday at noon to finish the Amazon shop,Create Reminder.
39,39,Change the reminder for my surgery from Friday to Wednesday please.,Update Reminder Date Time.
40,40,Set up a reminder for Aiden feed the dogs twice a day.,Create Reminder.
41,41,Remind me to post the technician job opening by 4 p.m. today.,Create Reminder.
42,42,Remind dance troupe to bring extra socks to practice.,Create Reminder.
43,43,"Create the """"""""Pay Rent"""""""" reminder on the 30th and 31st of each month",Create Reminder.
44,44,Set up a reminder for water aerobics class every Friday at 7pm.,Create Reminder.
45,45,Remind me to send my weekly check in email Monday at noon.,Create Reminder.
46,46,remind me to send Cherise an email on sunday at 10p,Create Reminder.
47,47,Remind me to set alarm for 5 am Monday,Create Reminder.
48,48,Cancel the reminder that the library summer reading program shop closes on the 31st.,Delete Reminder.
49,49,Change my daily vitamin reminder from 7AM to 6:30 AM,Update Reminder Date Time.
50,50,Remind me to get meat out of the freezer at 10am daily.,Create Reminder.
51,51,Remind me in a week to unblock Sean from Whatsapp.,Create Reminder.
52,52,Remind Kate to mow the lawn Saturday morning.,Create Reminder.
53,53,I should write a thank you note for the churchs nice gesture. Can you remind me to do that tonight before 8pm?,Create Reminder.
54,54,Remind me to pick up Ice cream,Create Reminder.
55,55,"Change my doctor's appointment on Thursday, August 2 from 1 p.m. to 2 p.m.",Update Reminder Date Time.
56,56,remind me to Remove the alert on my reminder about call tom at 6 pm.,Create Reminder.
57,57,please remind me to send out invitations to husbands retirement party this weekend,Create Reminder.
58,58,Remind me to bring Ashley to the movies,Create Reminder.
59,59,cancel the reminder for biology study group today,Delete Reminder.
60,60,remind me about my moms anniversary party on Saturday,Create Reminder.
61,61,Drop a reminder on the ufc event,Create Reminder.
62,62,Do I have any reminders for Monday afternoon?,Get Reminder.
63,63,Remind me to stop and get gas tomorrow at 7am.,Create Reminder.
64,64,Remind me of my children's dentist appointment the day before the appointment.,Create Reminder.
65,65,Remind my husband to take his pills every night at 6 pm.,Create Reminder.
66,66,Set up a reminder two hours before my date on Sunday at 6 pm.,Create Reminder.
67,67,I need to study for my presentation; can you set a reminder on Wednesday?,Create Reminder.
68,68,what reminders do i have set for tomorrow.,Get Reminder.
69,69,Delete my reminder to get gas on the way to school pick up.,Delete Reminder.
70,70,set a reminder to bring my headphones on vacation,Create Reminder.
71,71,Set an alert to put a hold on my mail this Friday,Create Reminder.
72,72,Remind Brady and Jackson that we need to leave at 3; alert them an hour before.,Create Reminder.
73,73,Change my reminder to tomorrow.,Update Reminder Date Time.
74,74,Remind the SCA members about the meeting on August 6th at 4pm,Create Reminder.
75,75,"Remind me 12 hours prior to my routine Dentist appointment, in personal calendar, that I have my recurring  dentist appointment automatically scheduled and  that I must prepare- I mean floss for  !",Create Reminder.
76,76,Please set a daily reminder for 5pm to ensure my time card is filled out.,Create Reminder.
77,77,Remind me to check my job alerts every evening at 6pm.,Create Reminder.
78,78,Remind me to take the recycling to the disposal center on Friday next week,Create Reminder.
79,79,Alert me that I have to pay the electricity bill due on the 30th of this month.,Create Reminder.
80,80,remind me to check in for my flight next week,Create Reminder.
81,81,Remind me to text Jennifer tomorrow to invite her to the Sips and Sass dinner.,Create Reminder.
82,82,Set reminder to make coffee in the morning.,Create Reminder.
83,83,What are my reminders for next week?,Get Reminder.
84,84,Remind me to water the plants once a week.,Create Reminder.
85,85,WHEN IS THERE A REMINDER FOR ALICE'S DANCE CLASS?,Get Reminder.
86,86,Remind me when to set the clocks back one hour this fall.,Create Reminder.
87,87,I don't want to be late for work at 9 am; can you alert me 15 minutes before?,Create Reminder.
88,88,Set a daily reminder at 12 pm to check the sales of my Fabric website.,Create Reminder.
89,89,Remind me tonight to check on supply of paper towels.,Create Reminder.
90,90,What reminders do I have for today?,Get Reminder.
91,91,"Please set up a daily reminder to go to bed at 10:30pm, except for Saturdays.",Create Reminder.
92,92,"i forgot to do my homework, remind me to do it later tonight.",Create Reminder.
93,93,Delete all reminders for the month of September.,Delete Reminder.
94,94,Remind me to pick up pads today,Create Reminder.
95,95,set a reminder to buy light bulbs for the bathroom,Create Reminder.
96,96,Remind me to wake up at 6 for interview tomorrow,Create Reminder.
97,97,Remind me Friday is trash day.,Create Reminder.
98,98,Remind me each week to look at craft ideas on Pinterest.,Create Reminder.
99,99,remind me to book the Sedona helicopter tour tomorrow,Create Reminder.
100,100,Remind me about my tutoring session on Sunday at 7 pm.,Create Reminder.
101,101,Set reminder for tomorrow's baby shower,Create Reminder.
102,102,Set a reminder for our beach trip on Saturday,Create Reminder.
103,103,Remind me at 4:30pm when I get home to find the Great Clips coupon for Joe,Create Reminder.
104,104,What reminders do I have after 5pm today?,Get Reminder.
105,105,Remind me to pick up a plumbing wrench at 5pm on Thursday.,Create Reminder.
106,106,Remind about the school's field trip on Monday at 10am,Create Reminder.
107,107,set an alert to go off 10 minutes to 2 pm.,Create Reminder.
108,108,Can you remind me that my meeting is at 5 pm?,Create Reminder.
109,109,Remind me to give dog rabies shot every 3 years.,Create Reminder.
110,110,Delete the reminder to attend class for tomorrow morning.,Delete Reminder.
111,111,I must be reminded to check Maria's mail everyday next week.,Create Reminder.
112,112,Remind me to edit my essay tonight.,Create Reminder.
113,113,"I want to do something nice for my mom, please remind me to go shopping today at 5pm on Thursday.",Create Reminder.
114,114,Remind me of Kindergarten Orientation on August 30th at 9 pm.,Create Reminder.
115,115,Remind David we only have 5 dog bones and need to order some.,Create Reminder.
116,116,Set a reminder for 1 hour before Shea's soccer game.,Create Reminder.
117,117,Remind me to water the plants every Monday,Create Reminder.
118,118,update my interview from 10:00am to 2:45pm next tuesday,Update Reminder Date Time.
119,119,"I need to leave the house at 10:30 in the morning, can you remind me an hour ahead of that",Create Reminder.
120,120,Remind me to pick up Gizmo's medicine from the vet before 5pm on Friday.,Create Reminder.
121,121,Remind me tomorrow morning to email Edward about his car.,Create Reminder.
122,122,Remind me to get cat litter today.,Create Reminder.
123,123,Remind me to look up that directive for Marshall today.,Create Reminder.
124,124,remind me to shop for party stuff on friday,Create Reminder.
125,125,remind me in three years to schedule a pap smear,Create Reminder.
126,126,Set up an alert for early morning gym,Create Reminder.
