text,true_label,predicted_label
I'd like to have this track onto my Classical Relaxations playlist.,Add To Playlist.,Get Weather.
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm .,Add To Playlist.,Get Weather.
Put Vandemataram Srinivas 's track onto HipHop Hot 50 .,Add To Playlist.,Get Weather.
Can you put this song from Yutaka Ozaki onto my this is miles davis playlist?,Add To Playlist.,Get Weather.
Can I put this tune onto my sin estrés playlist?,Add To Playlist.,Search Creative Work.
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,Add To Playlist.,Search Creative Work.
For my fantastic workout can you add sara bareilles ?,Add To Playlist.,Get Weather.
put the artist onto Top Latin Alternative .,Add To Playlist.,Search Creative Work.
A Very Cellular Song needs to be added to my masters of metal playlist,Add To Playlist.,Search Creative Work.
I need a table for 5 at a highly rated gastropub in Concord MN,Book Restaurant.,Rate Book.
I want to book Oregon Electric Station in North City .,Book Restaurant.,Book.
I need a table for 4 ; please confirm the reservation.,Book Restaurant.,Rate Book.
I want to eat by five pm in NE for a six people,Book Restaurant.,Rate Book.
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish,Book Restaurant.,Get Weather.
I want to eat in Ramona,Book Restaurant.,Get Restaurant.
need a table somewhere in Quarryville 14 hours from now,Book Restaurant.,Get Weather.
what is the forecast starting 11 weeks from now nearby the state of Wisconsin,Get Weather.,Rate Book.
Check the forecast for Nebraska .,Get Weather.,Rate Book.
what is the forecast for Ōtone Prefectural Natural Park in 1 hour and within the same area,Get Weather.,Rate Book.
what is the forecast for Waurika in Samoa,Get Weather.,Rate Book.
"what is the overcast forecast for the current position starting on jul. 19, 2030",Get Weather.,Rate Book.
what is the forecast in Nicodemus and nearby,Get Weather.,Rate Book.
what is the forecast for beginning on nov. 17 for Franklinville,Get Weather.,Rate Book.
what's the forecast for sep. 26 in Emerado Saint Pierre and Miquelon,Get Weather.,Rate Book.
what is the forecast for here for blizzard conditions at five pm,Get Weather.,Rate Book.
what is the forecast in Admire in TX starting at seventeen,Get Weather.,Rate Book.
what is the forecast for Costa Rica,Get Weather.,Rate Book.
Tell me the forecast for 6 am in Tatra-Nationalpark,Get Weather.,Rate Book.
What is the forecast for this afternoon for blizzard conditions in Dieterich Chad,Get Weather.,Rate Book.
Will there be a cloud in VI in 14 minutes ?,Get Weather.,Rate Book.
Where is Belgium located,Get Weather.,Search Screening Event.
can you put on Like A Hurricane by Paul Landers,Play Music.,Get Weather.
Let me hear the good songs from James Iha,Play Music.,Search Creative Work.
I want to hear a seventies sound track .,Play Music.,Rate Book.
nineties songs on Zvooq,Play Music.,Rate Book.
Open itunes and play Ben Burnley Ready To Die,Play Music.,Search Creative Work.
I want to hear music from Allen Toussaint from the fifties,Play Music.,Search Creative Work.
Turn on Last Fm,Play Music.,Search Creative Work.
Play some anneliese van der pol from the thirties on Groove Shark,Play Music.,Playlist.
I want to listen to an ep from 1998 .,Play Music.,Rate Book.
Please play my ecstatic playlist.,Play Music.,Playlist.
Open deezer and play Curtain Call: The Hits by Junichi Okada .,Play Music.,Search Creative Work.
Live In L.a Joseph Meyer please,Play Music.,Search Creative Work.
I want to hear them from the artist Murcof,Play Music.,Search Creative Work.
Go to Itunes and play Dr. Lecter by David Hodges,Play Music.,Search Creative Work.
Please tune into Chieko Ochi 's good music,Play Music.,Rate Book.
Let's hear stuff from Andrew Hewitt .,Play Music.,Get Weather.
I want to hear anything from the Rock Symphonique genre please.,Play Music.,Search Creative Work.
Put What Color Is Your Sky by Alana Davis on the stereo.,Play Music.,Search Creative Work.
Please open Zvooq,Play Music.,Search Creative Work.
I want to hear soundtrack music on Youtube from Helena Iren Michaelsen,Play Music.,Search Creative Work.
Proceed with Hitomi Nabatame music from 2003 .,Play Music.,Rate Book.
Let me hear Chris Knight music,Play Music.,Search Creative Work.
Let's hear good Mohammad Mamle on Vimeo .,Play Music.,Search Creative Work.
Gods and Pawns should get a three,Rate Book.,Search Creative Work.
"Please look up the TV show , Vanity .",Search Creative Work.,Search Screening Event.
Get me the Elvis' Christmas Album TV show .,Search Creative Work.,Get Weather.
Please get me The Sacred and Profane Love Machine game .,Search Creative Work.,Get Weather.
Can you get me the Controlled Conversations TV series ?,Search Creative Work.,Get Weather.
Get me the Procession of Ants TV show .,Search Creative Work.,Get Weather.
Look for the television show Meet the Prince,Search Creative Work.,Search Screening Event.
Get me the Secret South song .,Search Creative Work.,Get Weather.
get me the trailer of Good Morning Sunshine,Search Creative Work.,Get Weather.
Please get me the Compulsive Disclosure song .,Search Creative Work.,Get Weather.
Can you find me the National Anthem of the Ancient Britons television show ?,Search Creative Work.,Search Screening Event.
Can you find the American Bison photograph ?,Search Creative Work.,Search Screening Event.
Can you get me the Message from God saga ?,Search Creative Work.,Get Weather.
Please get me The Henderson Kids saga .,Search Creative Work.,Get Weather.
Find the album Orphan Girl at the Cemetery,Search Creative Work.,Search Screening Event.
Can you please get me the book Dracula 5: The Blood Legacy ?,Search Creative Work.,Get Weather.
Please get me the Dead Soul saga .,Search Creative Work.,Get Weather.
Is Babar: King of the Elephants playing,Search Screening Event.,Search Creative Work.
Is The Ghost playing,Search Screening Event.,Search Creative Work.
Is Bartok the Magnificent playing at seven AM ?,Search Screening Event.,Get Weather.
i want to see JLA Adventures: Trapped In Time,Search Screening Event.,Search Creative Work.
when is The Fox and the Child playing in this cinema,Search Screening Event.,Search Creative Work.
show me the schedule for Rat Rod Rockers !,Search Screening Event.,Rate Book.
Is Any Which Way You Can playing in 15 seconds,Search Screening Event.,Search Creative Work.
Where can I see The Prime Ministers: The Pioneers,Search Screening Event.,Search Creative Work.
I need to find the movie theatre showing The Crooked Web closest to me,Search Screening Event.,Search Creative Work.
"I want to see Those Kids from Town , when will it be showing?",Search Screening Event.,Search Creative Work.
Find the schedule for The Comedian at Santikos Theatres .,Search Screening Event.,Search Creative Work.
i want to see I Dream of Jeanie in a movie theatre,Search Screening Event.,Search Creative Work.
Can I see Ellis Island Revisited in 1 minute,Search Screening Event.,Rate Book.
show me the schedule for The Oblong Box,Search Screening Event.,Search Creative Work.
Is What a Wonderful Place showing at Cinemark Theatres,Search Screening Event.,Search Creative Work.
show the closest movie theatre that shows Boycott,Search Screening Event.,Search Creative Work.
I want to see DOA: Dead or Alive at Loews Cineplex Entertainment .,Search Screening Event.,Search Creative Work.
Is Patrick Still Lives showing at AMC Theaters,Search Screening Event.,Search Creative Work.
Fine the movie schedules for the Wanda Group .,Search Screening Event.,Search Creative Work.
Give me the movie schedule nearby,Search Screening Event.,Rate Book.
Show me the movies at Harkins Theatres .,Search Screening Event.,Search Creative Work.
I want to see Medal for the General,Search Screening Event.,Search Creative Work.
Can I get the times for movies in the neighbourhood,Search Screening Event.,Get Weather.
Is American Primitive showing in Santikos Theatres,Search Screening Event.,Search Creative Work.
Check the schedule for Bow Tie Cinemas .,Search Screening Event.,Search Creative Work.
Is Rumor Has It playing,Search Screening Event.,Search Creative Work.
I want to see Fear Chamber .,Search Screening Event.,Search Creative Work.
Show me Southern Theatres movie times,Search Screening Event.,Search Creative Work.
Is The Unnaturals showing at 13 .,Search Screening Event.,Search Creative Work.
