,text,intent
0,remind me to write thank you letters to invited,Create Reminder.
1,Remind me of the information in the note section of my  doctor's appointment,Create Reminder.
2,remind me to take my meds at 8am and 6pm daily,Create Reminder.
3,I need to text Nicquana tonight at 7pm. Can you remind me?,Create Reminder.
4,Remind me to change my flight to New York.,Create Reminder.
5,delete my reminder to do my homework tonight,Delete Reminder.
6,please remind me on Saturday at 9 am to leave Justin a message about the upcoming meeting on Monday,Create Reminder.
7,Remind me 30 min before the Fluid dynamics exam starts,Create Reminder.
8,Remind me at 5PM to schedule my hair appointment for next month,Create Reminder.
9,REMIND MY BAND TO BRING THEIR GEAR FOR TOMORROW NIGHT'S PERFORMANCE.,Create Reminder.
10,Remind me to buy movie tickets for Avengers: Infinity War for Saturday movie showings.,Create Reminder.
11,Remind me to pack my lunch for tomorrow.,Create Reminder.
12,erase reminder to attend conference this monday,Delete Reminder.
13,Set up a weekly reminder to do grocery shopping on Saturdays by 12:00 pm.,Create Reminder.
14,Remind me to play the baby's lullaby's for her at nap time,Create Reminder.
15,Set up a biweekly reminder to notify the team about the meeting,Create Reminder.
16,I need to modify one of my son's reminders.,Update Reminder.
17,reminder me to pick up my son from practice on Tuesday at 6,Create Reminder.
18,Alert me in 15 minutes to leave the house to pick up birthday cake.,Create Reminder.
19,remind me to brush my teeth tonight,Create Reminder.
20,Update the dog reminder to dog and cat.,Update Reminder Todo.
21,remind me to buy a christmas gift for lee ann on december 24,Create Reminder.
22,Remind me of my chiropractic appointment on Monday at 10am.,Create Reminder.
23,Remind my husband to pick up my prescription tomorrow.,Create Reminder.
24,Remind me to get 8 cups of water daily to maintain a healthy body.,Create Reminder.
25,"Tim's mother passed away, remind me to send him flowers next Thursday.",Create Reminder.
26,"Change my reminder about buying doughnuts to be for the book club on Friday, not Thursday.",Update Reminder Date Time.
27,Remind me to check the mailbox this week.,Create Reminder.
28,What reminders do I have on next friday,Get Reminder.
29,Remind me that my paper is due Before Tuesday 12:00am,Create Reminder.
30,Set reminder to have Meredith buy Teddy Grahams tomorrow night.,Create Reminder.
31,Remind Leigha about dance practice at 4pm.,Create Reminder.
32,set a monthly reminder o make the car payment on the 3rd.,Create Reminder.
33,Set a daily reminder at 6am to exercise,Create Reminder.
34,remind me that I have to make a dentist appointment for next week,Create Reminder.
35,Set a daily reminder this week to get an oil change before Friday.,Create Reminder.
36,"I need to text Macy at 3 pm to see if she wants to go to dinner tonight, remind me.",Create Reminder.
37,remind me to pack for my trip tomorrow morning,Create Reminder.
38,make a reminder on Wednesday at noon to finish the Amazon shop,Create Reminder.
39,Change the reminder for my surgery from Friday to Wednesday please.,Update Reminder Date Time.
40,Set up a reminder for Aiden feed the dogs twice a day.,Create Reminder.
41,Remind me to post the technician job opening by 4 p.m. today.,Create Reminder.
42,Remind dance troupe to bring extra socks to practice.,Create Reminder.
43,"Create the """"""""Pay Rent"""""""" reminder on the 30th and 31st of each month",Create Reminder.
44,Set up a reminder for water aerobics class every Friday at 7pm.,Create Reminder.
45,Remind me to send my weekly check in email Monday at noon.,Create Reminder.
46,remind me to send Cherise an email on sunday at 10p,Create Reminder.
47,Remind me to set alarm for 5 am Monday,Create Reminder.
48,Cancel the reminder that the library summer reading program shop closes on the 31st.,Delete Reminder.
49,Change my daily vitamin reminder from 7AM to 6:30 AM,Update Reminder Date Time.
50,Remind me to get meat out of the freezer at 10am daily.,Create Reminder.
51,Remind me in a week to unblock Sean from Whatsapp.,Create Reminder.
52,Remind Kate to mow the lawn Saturday morning.,Create Reminder.
53,I should write a thank you note for the churchs nice gesture. Can you remind me to do that tonight before 8pm?,Create Reminder.
54,Remind me to pick up Ice cream,Create Reminder.
55,"Change my doctor's appointment on Thursday, August 2 from 1 p.m. to 2 p.m.",Update Reminder Date Time.
56,remind me to Remove the alert on my reminder about call tom at 6 pm.,Create Reminder.
57,please remind me to send out invitations to husbands retirement party this weekend,Create Reminder.
58,Remind me to bring Ashley to the movies,Create Reminder.
59,cancel the reminder for biology study group today,Delete Reminder.
60,remind me about my moms anniversary party on Saturday,Create Reminder.
61,Drop a reminder on the ufc event,Create Reminder.
62,Do I have any reminders for Monday afternoon?,Get Reminder.
63,Remind me to stop and get gas tomorrow at 7am.,Create Reminder.
64,Remind me of my children's dentist appointment the day before the appointment.,Create Reminder.
65,Remind my husband to take his pills every night at 6 pm.,Create Reminder.
66,Set up a reminder two hours before my date on Sunday at 6 pm.,Create Reminder.
67,I need to study for my presentation; can you set a reminder on Wednesday?,Create Reminder.
68,what reminders do i have set for tomorrow.,Get Reminder.
69,Delete my reminder to get gas on the way to school pick up.,Delete Reminder.
70,set a reminder to bring my headphones on vacation,Create Reminder.
71,Set an alert to put a hold on my mail this Friday,Create Reminder.
72,Remind Brady and Jackson that we need to leave at 3; alert them an hour before.,Create Reminder.
73,Change my reminder to tomorrow.,Update Reminder Date Time.
74,Remind the SCA members about the meeting on August 6th at 4pm,Create Reminder.
75,"Remind me 12 hours prior to my routine Dentist appointment, in personal calendar, that I have my recurring  dentist appointment automatically scheduled and  that I must prepare- I mean floss for  !",Create Reminder.
76,Please set a daily reminder for 5pm to ensure my time card is filled out.,Create Reminder.
77,Remind me to check my job alerts every evening at 6pm.,Create Reminder.
78,Remind me to take the recycling to the disposal center on Friday next week,Create Reminder.
79,Alert me that I have to pay the electricity bill due on the 30th of this month.,Create Reminder.
80,remind me to check in for my flight next week,Create Reminder.
81,Remind me to text Jennifer tomorrow to invite her to the Sips and Sass dinner.,Create Reminder.
82,Set reminder to make coffee in the morning.,Create Reminder.
83,What are my reminders for next week?,Get Reminder.
84,Remind me to water the plants once a week.,Create Reminder.
85,WHEN IS THERE A REMINDER FOR ALICE'S DANCE CLASS?,Get Reminder.
86,Remind me when to set the clocks back one hour this fall.,Create Reminder.
87,I don't want to be late for work at 9 am; can you alert me 15 minutes before?,Create Reminder.
88,Set a daily reminder at 12 pm to check the sales of my Fabric website.,Create Reminder.
89,Remind me tonight to check on supply of paper towels.,Create Reminder.
90,What reminders do I have for today?,Get Reminder.
91,"Please set up a daily reminder to go to bed at 10:30pm, except for Saturdays.",Create Reminder.
92,"i forgot to do my homework, remind me to do it later tonight.",Create Reminder.
93,Delete all reminders for the month of September.,Delete Reminder.
