,Unnamed: 0,text,intent
0,0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,Add To Playlist.
1,1,put United Abominations onto my rare groove playlist,Add To Playlist.
2,2,add the tune by misato watanabe to the Trapeo playlist,Add To Playlist.
3,3,add this artist to my this is miguel bosé playlist,Add To Playlist.
4,4,add heresy and the hotel choir to the evening acoustic playlist,Add To Playlist.
5,5,Please add Jency Anthony to my playlist This Is Mozart,Add To Playlist.
6,6,Add an album to my list La Mejor Música Dance 2017,Add To Playlist.
7,7,Add shame on you to my masters of metal playlist,Add To Playlist.
8,8,Add artist to playlist Epic Gaming,Add To Playlist.
9,9,Add The Private Collection onto my Cena Elegante playlist please.,Add To Playlist.
10,10,Put another track in my electronica & dance playlist.,Add To Playlist.
11,11,add this album to the playlist called dishwashing,Add To Playlist.
12,12,add Classic Punk by Chab,Add To Playlist.
13,13,add megon mcdonough indie songs for slackers to my playlist artist,Add To Playlist.
14,14,Add the name Shall We Dance to playlist Rock,Add To Playlist.
15,15,add Lee Seung gi to my Baila Reggaeton playlist,Add To Playlist.
16,16,put frank farian on my Deep Dark Indie Folk playlist,Add To Playlist.
17,17,Include hohenfriedberger marsch to my Novedades Pop list.,Add To Playlist.
18,18,add alexandra govere to my anochecer urbano playlist,Add To Playlist.
19,19,Please put maimi yajima 's song onto Operación Bikini .,Add To Playlist.
20,20,For my playlist chill add the name Cater Fe She,Add To Playlist.
21,21,add when ice met cream to This Is Alejandro Fernández playlist,Add To Playlist.
22,22,Add Banana Republic to my this is puccini playlist,Add To Playlist.
23,23,add the Chamillionaire track to lina's wedding classics playlist,Add To Playlist.
24,24,put this Kan Mikami tune on fresh finds cyclone,Add To Playlist.
25,25,add mike mogis onto my crate diggers anonymous playlist,Add To Playlist.
26,26,Add Jon McLaughlin to my forever country playlist.,Add To Playlist.
27,27,add sheila e to my i love my neo soul playlist,Add To Playlist.
28,28,Can you add something from Method Man to my this is mozart playlist,Add To Playlist.
29,29,Add an artist to my Hype list,Add To Playlist.
30,30,add track to my playlist a sudden rainstorm,Add To Playlist.
31,31,please add John Deacon to the funtime activity playlist,Add To Playlist.
32,32,Add track to this is puccini,Add To Playlist.
33,33,Add irving berlin to my dishwashing,Add To Playlist.
34,34,Add As I Was Going to St Ives to the fantasía playlist.,Add To Playlist.
35,35,I want lay down your arms in the indie español playlist.,Add To Playlist.
36,36,Add Kevin Cadogan to the 80s Classic Hits list,Add To Playlist.
37,37,Put Kim Kibum in my the martin garrix show playlist.,Add To Playlist.
38,38,Can Super Turnt Up get added to my emotron playlist?,Add To Playlist.
39,39,Add the name as with gladness men of old to my ultimate 90s playlist,Add To Playlist.
40,40,add this song onto hip hop gaming playlist,Add To Playlist.
41,41,Add Hatfield and the North to my Hot House playlist.,Add To Playlist.
42,42,Add chen jiafeng to Ultimate 00s,Add To Playlist.
43,43,Add the trey gunn tune to my French N' Heavy playlist.,Add To Playlist.
44,44,add this track to morning classical,Add To Playlist.
45,45,add tune to Soft Rock playlist,Add To Playlist.
46,46,add to laundry playlist with this song,Add To Playlist.
47,47,Add a track to my Alok House Party playlist,Add To Playlist.
48,48,Place this tune in workout remix,Add To Playlist.
49,49,I'd like to add the artist Jesper Kyd onto my fresh electronic playlist.,Add To Playlist.
50,50,add this artist named Cleopatra Stratan to my playlist named 30 Before 20 Masterworks by Teenagers,Add To Playlist.
51,51,add erik santos in my playlist Metal Xplorer,Add To Playlist.
52,52,Add the tune to Your Favorite Slaughterhouse playlist.,Add To Playlist.
53,53,add Joe Gibbs to my The Bachelor Party playlist,Add To Playlist.
54,54,Please add Liberty Forever to the road trip playlist.,Add To Playlist.
55,55,add Salil Chowdhury to my 35 Soul Classics 1970 to 1975 playlsit,Add To Playlist.
56,56,I need to add to the all things post starting with my favorites from the silence,Add To Playlist.
57,57,Add The “Chirping” Crickets to my Mellowed Out Gaming playlist,Add To Playlist.
58,58,Add tune to Blues,Add To Playlist.
59,59,I want the Turbonegro album to go on the playlist called Genuine R&B,Add To Playlist.
60,60,Add Munawar Ali Khan to my mujeres y hombres y fiesta,Add To Playlist.
61,61,add tune to my mellow bars playlist,Add To Playlist.
62,62,Add mc ren to my It's a Southern Thing playlist,Add To Playlist.
63,63,Add this song to my roadrunner rec new releases list.,Add To Playlist.
64,64,add Curse song to my playlist Guest List Engadget,Add To Playlist.
65,65,I need to add another track to my cleaning playlist.,Add To Playlist.
66,66,add this artist to my 80'S PARTY,Add To Playlist.
67,67,Add gene clark to diann's chill out list,Add To Playlist.
68,68,Add a tune to rare groove,Add To Playlist.
69,69,add hopeful to my this is enrique iglesias,Add To Playlist.
70,70,add scott putesky to concentración indie rock playlist,Add To Playlist.
71,71,A Shawnna to the Warm Hearts Feel Good playlist.,Add To Playlist.
72,72,add artist John William Boone to my life's short; play fast playlist,Add To Playlist.
73,73,add jim martin to Deathcore,Add To Playlist.
74,74,put this track on soul bpm my playlist,Add To Playlist.
75,75,add this artist named trevor mcnevan to the playlist top gaming tracks,Add To Playlist.
76,76,Add Ashley Cafagna Tesoro to my reggae en español list,Add To Playlist.
77,77,Add artist to playlist Classic Punk,Add To Playlist.
78,78,Add a tune to my elrow Guest List,Add To Playlist.
79,79,I want to add Anna Semenovich to the dinner with friends playlist,Add To Playlist.
80,80,Play Disco Tango to Power Walk,Add To Playlist.
81,81,Add tune to my Folk Music At The Gaslight Café,Add To Playlist.
82,82,add this artist to romántica,Add To Playlist.
83,83,Please add 80s Classic Hits Asking for It to my playlist,Add To Playlist.
84,84,add this artist to primavera sound 2016 barcelona,Add To Playlist.
85,85,Add this album to Trotamundos,Add To Playlist.
86,86,Add splendido hotel to my verano forever,Add To Playlist.
87,87,add lunacy to my chill out playlist,Add To Playlist.
88,88,Add Without Your Love to my showstopper being mary jane list,Add To Playlist.
89,89,Add this song to my list Trabajo Relax,Add To Playlist.
90,90,Add this track to my Zen Focus playlist,Add To Playlist.
91,91,add décadas to my list Neo da Matrix,Add To Playlist.
92,92,The Zen Focus playlist needs David Franj in it.,Add To Playlist.
93,93,put four in blue onto Ultimate 00s .,Add To Playlist.
94,94,I want global top 50 to have marit bergman added to it.,Add To Playlist.
95,95,add flying to my Women of Rock playlist,Add To Playlist.
96,96,Add Gary Valenciano to the power gaming playlist.,Add To Playlist.
97,97,Add track to Urban Poet,Add To Playlist.
98,98,add country favorites willie nelson style to my playlist titled Spinnin' Records Top 100,Add To Playlist.
99,99,"add reggaeton classics in playlist jennie, jennie",Add To Playlist.
100,100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,Add To Playlist.
101,101,Add to my verano list a song by andy lee,Add To Playlist.
102,102,add the artist to my Spooning playlist,Add To Playlist.
103,103,Add the tune to my House Afterwork playlist.,Add To Playlist.
104,104,add this artist to my Sinfonía Hipster,Add To Playlist.
105,105,I want to put Land of the Dead into my Big Daddy's Booze & Blues playlist.,Add To Playlist.
106,106,Can you put in person at carnegie hall on my winter playlist,Add To Playlist.
107,107,Add I Almost Lost My Mind to my bossa nova dinner playlist.,Add To Playlist.
108,108,Add another tune to my Soft Rock playlist.,Add To Playlist.
