,utterance,intent,label
0,i want to fly from boston at 838 am and arrive in denver at 1110 in the morning,Flight.,0
1,what flights are available from pittsburgh to baltimore on thursday morning,Flight.,0
2,what is the arrival time in san francisco for the 755 am flight leaving washington,Flight Time.,1
3,cheapest airfare from tacoma to orlando,Airfare.,2
4,round trip fares from pittsburgh to philadelphia under 1000 dollars,Airfare.,2
5,i need a flight tomorrow from columbus to minneapolis,Flight.,0
6,what kind of aircraft is used on a flight from cleveland to dallas,Aircraft.,3
7,show me the flights from pittsburgh to los angeles on thursday,Flight.,0
8,all flights from boston to washington,Flight.,0
9,what kind of ground transportation is available in denver,Ground Service.,4
10,show me the flights from dallas to san francisco,Flight.,0
11,show me the flights from san diego to newark by way of houston,Flight.,0
12,what 's the airport at orlando,Airport.,5
13,what is the cheapest flight from boston to bwi,Flight.,0
14,all flights to baltimore after 6 pm,Flight.,0
15,show me the first class fares from boston to denver,Airfare.,2
16,show me the ground transportation in denver,Ground Service.,4
17,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,Flight.,0
18,i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,Flight.,0
19,please give me the flights from boston to pittsburgh on thursday of next week,Flight.,0
20,i would like to fly from denver to pittsburgh on united airlines,Flight.,0
21,show me the flights from san diego to newark,Flight.,0
22,please list all first class flights on united from denver to baltimore,Flight.,0
23,what kinds of planes are used by american airlines,Aircraft.,3
24,i 'd like to have some information on a ticket from denver to pittsburgh and atlanta,Airfare.,2
25,i 'd like to book a flight from atlanta to denver,Flight.,0
26,which airline serves denver pittsburgh and atlanta,Airline.,6
27,show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,Flight.,0
28,atlanta ground transportation,Ground Service.,4
29,i also need service from dallas to boston arriving by noon,Flight.,0
30,show me the cheapest round trip fare from baltimore to dallas,Airfare.,2
31,show me all flights from new york to milwaukee on northwest airlines departing at 720 am,Flight.,0
32,flights from new york to miami,Flight.,0
33,please find a flight on delta from philadelphia to san francisco and give me the flight numbers,Flight.,0
34,i need a flight from dallas to san francisco,Flight.,0
35,fares and flights from pittsburgh to philadelphia,Airfare.,2
36,show me the airlines with first class flights,Airline.,6
37,what are the flights from st. louis to burbank sunday evening,Flight.,0
38,i 'd like to arrange a flight from pittsburgh to atlanta,Flight.,0
39,show flights from baltimore to san francisco between 6 pm and 8 pm on friday,Flight.,0
40,how far is it from orlando airport to orlando,Distance.,7
41,i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,Flight.,0
42,which airline has the most arrivals in atlanta,Airline.,6
43,what airlines fly from new york to milwaukee to los angeles,Airline.,6
44,pittsburgh to denver,Flight.,0
45,which airlines serve atlanta,Airline.,6
46,show me information on ground transportation for dallas,Ground Service.,4
47,what is fare code h,Abbreviation.,8
48,show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,Flight.,0
49,i need a flight from charlotte to newark leaving today evening,Flight.,0
50,what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,Flight Time.,1
51,flights from newark to cleveland,Flight.,0
52,what flights go from boston to pittsburgh after 6 o'clock next tuesday,Flight.,0
53,how much does the limousine service cost within pittsburgh,Ground Fare.,9
54,does us air have any flights out of atlanta to denver,Flight.,0
55,what is booking class c,Abbreviation.,8
56,i 'd like to know the shortest trip between boston and san francisco,Flight.,0
57,i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,Flight.,0
58,what is the least expensive flight from denver to atlanta,Flight.,0
59,i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,Flight.,0
60,what flight goes from denver to baltimore first class on united airlines arriving on may seventh,Flight.,0
61,could you please tell me the airlines that fly from toronto to san diego,Airline.,6
62,what flights do you have from burbank to tacoma washington,Flight.,0
63,what is the ground transportation from philadelphia airport to the city proper,Ground Service.,4
64,which airlines have first class flights today,Airline.,6
65,find the latest flight from san francisco to atlanta that serves a meal,Flight.,0
66,i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,Flight.,0
67,give me a list of airports in baltimore,Airport.,5
68,show me flights from boston to denver on wednesday,Flight.,0
69,show me the flights from boston to baltimore,Flight.,0
70,what does fare code q mean,Abbreviation.,8
71,please give me the flights from san francisco to washington dc,Flight.,0
72,i need information from denver to pittsburgh,Flight.,0
73,from seattle to salt lake city,Flight.,0
74,what is the earliest flight from boston to bwi that serves a snack,Flight.,0
75,what types of aircraft does delta fly,Aircraft.,3
76,what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,Airfare.,2
77,give me the flights leaving denver august ninth coming back to boston,Flight.,0
78,list all the flights that fly into general mitchell international,Flight.,0
79,what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,Flight.,0
80,list all flights from indianapolis to seattle,Flight.,0
81,in flight meal oakland to philadelphia saturday,Flight.,0
82,show me the flights on twa from atlanta in the morning,Flight.,0
83,i want to find the first flight from baltimore to boston that serves a meal,Flight.,0
84,of all airlines which airline has the most arrivals in atlanta,Airline.,6
85,display all flights from baltimore to boston on july twenty ninth,Flight.,0
86,i want to travel from atlanta to baltimore early in the morning first flight,Flight.,0
87,i now need a flight from san jose to houston leaving on sunday the fourth,Flight.,0
88,what are the flights available after 6 pm between san francisco and boston,Flight.,0
89,what flights depart baltimore on friday and arrive in san francisco by 8 pm,Flight.,0
90,show me flights from boston to san francisco,Flight.,0
91,list the delta airlines flights from boston to philadelphia,Flight.,0
92,show me the fares from dallas to san francisco,Airfare.,2
93,what nonstop flights between boston and washington arrive after 4 o'clock pm,Flight.,0
94,what is the distance from los angeles international airport to los angeles,Distance.,7
95,ground transportation in san jose,Ground Service.,4
96,please tell me how many nonstop flights there are from boston to atlanta,Quantity.,10
97,on the earliest flight from san francisco to atlanta on delta is a meal being served,Flight.,0
98,where does canadian airlines international fly,Flight.,0
99,what flights from denver to pittsburgh arrive before 8 in the morning,Flight.,0
100,find me the earliest flight from boston to atlanta,Flight.,0
101,list nonstop flights from houston to dallas which arrive before midnight,Flight.,0
102,show me the flights from boston to san francisco that stop in atlanta,Flight.,0
103,show me flights to san francisco from philadelphia stopping in dallas,Flight.,0
104,what city is the airport mco in,City.,11
105,how much does it cost to rent a car in tacoma,Ground Fare.,9
106,show me flights from baltimore to dallas,Flight.,0
107,show me a list of ground transportation at denver,Ground Service.,4
108,i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available,Flight.,0
109,also show me flights from san francisco to pittsburgh on tuesday,Flight.,0
110,show flights from dallas to oakland,Flight.,0
111,give me the cheapest flight from charlotte to long beach,Flight.,0
112,show me all flights from san francisco to pittsburgh,Flight.,0
113,find me a flight on united from boston to san francisco with a stopover in denver,Flight.,0
114,show me the last flight from love field,Flight.,0
115,what flights go from newark to boston after 5 pm,Flight.,0
116,what are all the flights from boston to dallas,Flight.,0
117,what is the earliest flight departing san francisco and arriving in boston on november ninth,Flight.,0
118,what is the earliest flight flying from pittsburgh to atlanta on july fifth,Flight.,0
119,please list available flights for next saturday from philadelphia to dallas,Flight.,0
120,what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday,Flight.,0
121,what is the transportation time from the airport to boston,Ground Service.,4
122,which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,Airline.,6
123,what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two,Flight.,0
124,what are the classes of service for american airlines,Flight.,0
125,i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,Flight.,0
126,all flights from boston to washington dc on november tenth,Flight.,0
127,what are the flights from denver to san francisco,Flight.,0
128,on the 8 am flight from san francisco to atlanta what type of aircraft is used,Aircraft.,3
129,which flight is a one way fare at 329 dollars from denver to pittsburgh,Flight.,0
130,what flights leave baltimore for boston after 6 o'clock on friday,Flight.,0
131,okay i need to get a flight from houston to seattle,Flight.,0
132,please list flights between denver and boston,Flight.,0
133,find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon,Flight.,0
134,i would like some information on flights leaving boston to atlanta,Flight.,0
135,show me the latest nonstop flight from denver to washington dc,Flight.,0
136,what are the flights from dallas to baltimore,Flight.,0
137,i would like a nonstop flight from new york to las vegas on march second,Flight.,0
138,no i want to go from denver to oakland,Flight.,0
139,show me all the night fares between philadelphia and san francisco,Airfare.,2
140,what kinds of ground transportation is available in dallas fort worth,Ground Service.,4
141,can you show me economy class one way fares for flights from oakland to dallas on december sixteenth,Airfare.,2
142,what is fare code qw,Abbreviation.,8
143,i 'd like a flight on july ninth from orlando to kansas city in the afternoon,Flight.,0
144,what are the coach fares from charlotte to la wednesday night,Airfare.,2
145,is there ground transportation available in denver,Ground Service.,4
146,show me flights from philadelphia to oakland on friday,Flight.,0
147,i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning,Flight.,0
148,i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning,Flight.,0
149,list the flight from philadelphia to san francisco on american airlines,Flight.,0
150,flights from memphis to las vegas on sunday,Flight.,0
151,what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am,Flight.,0
152,what is the first class fare on united flight 352 from denver to boston,Airfare.,2
153,flight from philadelphia to dallas arriving before 4 pm on saturday,Flight.,0
154,list flights tomorrow from san diego to phoenix,Flight.,0
155,show me all flights from san francisco to washington dc area,Flight.,0
156,sure i want to go from philadelphia to dallas,Flight.,0
157,show me all the united airlines flights leaving dallas,Flight.,0
158,can you list all the flights between phoenix and las vegas,Flight.,0
159,list all flights from baltimore to philadelphia,Flight.,0
160,round trip flights from minneapolis to san diego coach economy fare,Flight.,0
161,i want to fly from boston to denver and i don 't want any stopovers and i 'd like to fly only during the afternoon,Flight.,0
162,flights from denver to baltimore between 10 am and 2 pm,Flight.,0
163,show me the flights from denver to atlanta,Flight.,0
164,what flights are there on delta from boston to dallas,Flight.,0
165,what kind of ground transportation can you offer me in seattle,Ground Service.,4
166,leaving washington going to san francisco the latest flight,Flight.,0
167,show me the flights available from atlanta to baltimore leaving atlanta in the morning,Flight.,0
168,round trip fares new york to san jose,Airfare.,2
169,which flights are serviced by american airlines,Flight.,0
170,how do i get from pittsburgh airport to downtown pittsburgh,Flight.,0
171,does midwest express serve charlotte,Flight.,0
172,what flights from houston to milwaukee on friday in the evening on american airlines,Flight.,0
173,what is the earliest flight going from san francisco to dallas on monday august nineteenth,Flight.,0
174,what flights from atlanta to st. louis on tuesday arriving around 230 pm,Flight.,0
175,i need a flight from kansas city to chicago that leaves wednesday and arrives in chicago around 7 pm,Flight.,0
