,utterance,intent
0,Whats the weather supposed to be today,Get Weather.
1,how cold is it?,Get Weather.
2,Can I get the 10 day forecast for Phoenix?,Get Weather.
3,What is the weather news for today?,Get Weather.
4,Tell me the weather conditions,Get Weather.
5,What's the weather like Saturday?,Get Weather.
6,where is it going to rain in the area today,Get Weather.
7,Check upcoming weather reports.,Get Weather.
8,How warm is it outside right now?,Get Weather.
9,Is it cold out?,Get Weather.
10,How is the weather in Jacksonville,Get Weather.
11,is it going to be hot today?,Get Weather.
12,temperature in New York,Get Weather.
13,This Sunday's weather in Los Angeles.,Get Weather.
14,Is it going to be sunny all day?,Get Weather.
15,How many days are going to rain this week?,Get Weather.
16,will it rain at my house today,Get Weather.
17,will I need a heavy coat today,Get Weather.
18,How cloudy is it?,Get Weather.
19,Is it going to rain today?,Get Weather.
20,What is the highest temperature going to be over the next 8 days,Get Weather.
21,What is the highs in Vegas this weekend?,Get Weather.
22,WHAT ARE THE CHANCES FOR RAIN,Get Weather.
23,should I wear pants or shorts today?,Get Weather.
24,is it going to snow friday,Get Weather.
25,When is it going to rain next in Phoenix?,Get Weather.
26,is it going to snow through the spring in upstate new york,Get Weather.
27,Will the weather be above 80 degrees tomorrow,Get Weather.
28,is there any thunderstorms in the forecast this week,Get Weather.
29,Is it supposed to rain today?,Get Weather.
30,Is there a thunderstorm watch?,Get Weather.
31,What is the weather like this weekend?,Get Weather.
32,"Is there going to be rain in Green Bay, WI today?",Get Weather.
33,should i bring an umbrella,Get Weather.
34,do i need sunscreen today,Get Weather.
35,Is it cold in croatia right now?,Get Weather.
36,Will it be raining at lunch time today?,Get Weather.
37,How much snow are we projected to get today?,Get Weather.
38,what is the highest temp today,Get Weather.
39,What is the weather for South Beach tomorrow at 11am?,Get Weather.
40,what's the local forecast for savannah,Get Weather.
41,Will it be sunny next Thursday?,Get Weather.
42,Is there sleet predicted for Pennsylvania tomorrow?,Get Weather.
43,Show me the weather?,Get Weather.
44,What the temperature today?,Get Weather.
45,What is the low temperature today,Get Weather.
46,How long is it supposed to rain?,Get Weather.
47,when is it going to be sunny out,Get Weather.
48,is snow in the forecast,Get Weather.
